created_at,tweet_content,keyword,user_location,entities
2021-09-22 14:58:54,segunda temporada de young royals 🙏🙏 nunca fui triste,Young Royals,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:00,segunda temporada de young royals nunca fui triste,Young Royals,"Recife, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:09,vitória pros lgbts finalmente YOUNG ROYALS RENEWED,Young Royals,"𝐂𝐈𝐍𝐃𝐄𝐑𝐄𝐋𝐋𝐀 — so if it's a choice, i choose me. {ela/dela/a}","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:10,YOUNG ROYALS FINALMENTE RENOVADA NUNCA FUI TRISTE,Young Royals,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:11,muito feliz que young royals foi renovada pra uma segunda temporada agora eu espero que o omar diga eu te amo pro wilhelm de volta ja pensou a serie termina com um feliz ano novo?,Young Royals,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:16,motivo pra continuar viva: segunda temporada de Young Royals,Young Royals,"Belém, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:18,finalmente acordei com uma notícia boa young royals renovada caraiooo,Young Royals,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:59:19,young royals com segunda temporada confirmada 🙌🙌se n renovassem era homofobia !!!,Young Royals,Dormindo,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ciclopin', 'name': 'ciclopin', 'id': 1009918359402631168, 'id_str': '1009918359402631168', 'indices': [3, 12]}], 'symbols': []}"
2021-09-22 14:59:19,"@hsbraverylt Juro Ju, não aguento mais
YOUNG ROYALS RENEWED+ FOGO NA MONARQUIA",Young Royals,ot5. larrie,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'hsbraverylt', 'name': 'ju 🐘🐾', 'id': 25637271, 'id_str': '25637271', 'indices': [0, 12]}], 'symbols': []}"
2021-09-22 14:59:19,pedi um motivo para continuar vivendo e me deram a segunda temporada de young royals,Young Royals,"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'hrrytrouble', 'name': 'luna | 📖: Evelyn Hugo', 'id': 1412024263205396484, 'id_str': '1412024263205396484', 'indices': [3, 15]}], 'symbols': []}"
