created_at,tweet_content,keyword,user_location,entities
2021-09-22 14:52:33,se o ateez tá feliz eu também estou,ATEEZ,"𝐌𝐀𝐌𝐀𝐂𝐈𝐓𝐀, 𝐈 𝐂𝐀𝐍 𝐒𝐄𝐄 𝐓𝐇𝐄 𝐃𝐄𝐕𝐈𝐋 𝐈𝐍 𝐘𝐎𝐔𝐑 𝐄𝐘𝐄𝐒.","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:34,"[ FAST GIVEAWAY ]

show! music core pre-voting on mubeat
free 3k heart beats

rules:
• rt and like this tweet
• follow us

good luck!
#ATEEZ #LISA #NCT127 #WONHO",ATEEZ,✦ 𝗧𝗵𝗲 𝗺𝗼𝗺𝗲𝗻𝘁 : 未成年✦,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:35,a gema toda mole que comidas sao essas ateez,ATEEZ,he/ele,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:36,"[ FAST GIVEAWAY ]

show! music core pre-voting on mubeat
free 3k heart beats

rules:
• rt and like this tweet
• follow us

good luck!
#ATEEZ #LISA #NCT127 #WONHO",ATEEZ,rcbyf !!,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:36,"‼️ÚLTIMOS MINUTOS‼️

Votem na LISA com TODAS as suas contas!",ATEEZ,United States,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'stream_bp', 'name': 'STREAM BLACKPINK ❤️\u200d🔥', 'id': 1143508039296847874, 'id_str': '1143508039296847874', 'indices': [3, 13]}], 'symbols': []}"
2021-09-22 14:52:36,"‼️FREE. 6th Giveaway‼️
🔵MUBEAT / Music Core Prevoting
♥️300 Beats/100 Votes

📌Follow @2kpopvoting and RT this post.

 #LISA #NCT127 #ATEEZ",ATEEZ,🐈🐢🐇🐤🐿️,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:40,"#bs2bphGA

🎊 GIVEAWAY 🎊

Winner will receive 7,777 Beats on Mubeat pre-voting period for this week's Show! Music Core. 🗳

Must:
✅ Like
✅ Retweet
✅ Follow

Goodluck! 🎉

#NCT127 #ATEEZ  #LISA",ATEEZ,None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:44,Vamos blinks ‼️‼️,ATEEZ,None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'THEBLINKSWORLD', 'name': 'THE BLINKS WORLD❤\u200d🔥', 'id': 1431054369508765703, 'id_str': '1431054369508765703', 'indices': [3, 18]}], 'symbols': []}"
