created_at,tweet_content,keyword,user_location,entities
2021-09-22 14:55:41,"@AcervoCharts @juliette Quarenta e três

JULIETTE TE AMO",Juliette,None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'AcervoCharts', 'name': 'ACERVO #AcervoMusicAwards', 'id': 753424463560052736, 'id_str': '753424463560052736', 'indices': [0, 13]}, {'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [14, 23]}], 'symbols': []}"
2021-09-22 14:55:44,@AcervoCharts @juliette bom dia cactos,Juliette,🌵,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'AcervoCharts', 'name': 'ACERVO #AcervoMusicAwards', 'id': 753424463560052736, 'id_str': '753424463560052736', 'indices': [0, 13]}, {'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [14, 23]}], 'symbols': []}"
2021-09-22 14:55:50,"Eu vou surtaaaar @juliette e @ClaudiaLeitte juntassss!! Alô Juliette, faça aconteceeeerrr 🥰🥰",Juliette,None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Camilladinizz', 'name': 'CAMILLA CAMILLÃO 🌵', 'id': 70790265, 'id_str': '70790265', 'indices': [3, 17]}, {'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [36, 45]}, {'screen_name': 'ClaudiaLeitte', 'name': 'Claudia Leitte', 'id': 48332360, 'id_str': '48332360', 'indices': [48, 62]}], 'symbols': []}"
2021-09-22 14:55:53,"JULIETTE NO ALTAS HORAS

Tomara que aquele relógio exploda com ela💆 me sigam para mais entretenimento #faleitoleve",Juliette,laura is....my sun!,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:56:09,"@AcervoCharts @juliette meus cactos, quantos ""cuscuz"" eu consigo aqui?",Juliette,None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'cinderelahb', 'name': '𝐿𝑜𝓇𝒹𝑒 𝐹𝓇𝑒𝒾𝓇𝑒', 'id': 890281542119043072, 'id_str': '890281542119043072', 'indices': [3, 15]}, {'screen_name': 'AcervoCharts', 'name': 'ACERVO #AcervoMusicAwards', 'id': 753424463560052736, 'id_str': '753424463560052736', 'indices': [17, 30]}, {'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [31, 40]}], 'symbols': []}"
