created_at,tweet_content,keyword,user_location,entities
2021-10-18 20:42:09,adorei os airpods e macbook,Macbook,brasília,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-10-18 20:42:16,"@juuh42dias Acho que desses 27k, entre 40% e 50% do valor deve ser de impostos, já que o macbook é totalmente importado",Macbook,"João Pessoa, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'juuh42dias', 'name': 'Juliana Dias ¦ Working on Coworking Pass👩🏻\u200d💻', 'id': 2655273811, 'id_str': '2655273811', 'indices': [0, 11]}], 'symbols': []}"
2021-10-18 20:42:16,"Macbook Pro 16 Max

Na Irlanda: € 3,849.00 (R$ 24.680,60)
No Brasil: R$ 45.499,00 (€ 7,095.66)

Tem que ser muito otário pra comprar lançamento da Apple no BR, puta que me pariu",Macbook,Brasil ,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': '_solractg', 'name': 'Guil Herm', 'id': 48877695, 'id_str': '48877695', 'indices': [3, 13]}], 'symbols': []}"
