created_at,tweet_content,keyword,user_location,entities
2021-09-22 14:51:43,"🌟 | Top10 do ranking das 9AM ~ 3PM (KST):

1 — 
2 —
3 —
4 JIMIN 
5 JIMIN
6 JIMIN
7 —
8 —
9 —
10 JIMIN

@BTS_twt #BTS  #방탄소년단",BTS,ᵒᵗ⁷ | ˢᵘᶦᵇᶦᵃⁿ | 🐥🐰 ,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:51:43,"Yoongi: ""Algumas pessoas disseram ""BTS, vocês são cantores, o que farão aí?"" mas já conhecíamos nossos papéis e viemos aqui para esses papéis. Estamos aqui para promover ODS. Não precisa nos olhar de um ponto de vista tendencioso/preconceituoso"".",BTS,✰ ゛𝗃𝗂. ७ 𝗄𝗈𝗈𝗄.  ›,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'bypalletsuga', 'name': 'Tαrci ࿚ 🧁𝐌𝐲 (𝐲𝐨𝐮)𝐧𝐢𝐯𝐞𝐫𝐬𝐞²⁴', 'id': 1263896514222534657, 'id_str': '1263896514222534657', 'indices': [3, 16]}], 'symbols': []}"
2021-09-22 14:51:44,"tivemos 4 lives e ainda de brinde, a call da galinha rockstar cantando músicas dos meninos, tudo em uma noite só.

kkkk certeza que o bts tava ouvindo a call.",BTS,"Recife, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'hejinseok', 'name': 'ᴀᴄᴛᴏʀ ᴊɪɴ⁷ 🐳 my universe 🌌', 'id': 1102627498087596033, 'id_str': '1102627498087596033', 'indices': [3, 13]}], 'symbols': []}"
2021-09-22 14:51:57,"Yoongi: ""Algumas pessoas disseram ""BTS, vocês são cantores, o que farão aí?"" mas já conhecíamos nossos papéis e viemos aqui para esses papéis. Estamos aqui para promover ODS. Não precisa nos olhar de um ponto de vista tendencioso/preconceituoso"".",BTS,"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'bypalletsuga', 'name': 'Tαrci ࿚ 🧁𝐌𝐲 (𝐲𝐨𝐮)𝐧𝐢𝐯𝐞𝐫𝐬𝐞²⁴', 'id': 1263896514222534657, 'id_str': '1263896514222534657', 'indices': [3, 16]}], 'symbols': []}"
2021-09-22 14:52:03,"Os meninos = Army
Os meninos do BTS = tá virando Army
Os caras do BTS = não é Army",BTS,"Manaus, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
2021-09-22 14:52:03,No final de tudo sempre será o Army pelo BTS e o BTS pelo Army. Apenas.,BTS,None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'vantelu', 'name': 'Lu⁷ do BTS ✨ O TAE APARECEU', 'id': 1124065341842309126, 'id_str': '1124065341842309126', 'indices': [3, 11]}], 'symbols': []}"
2021-09-22 14:52:05,meu deus o bts no meu livro jss,BTS,"i loved you for a thousand years and i will love you for a thousand more, because when the storm hit you were there, you were by my side, 𝘄𝗼𝗻𝗶𝗲!","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
